algorithm,pollution_type,fitness_tbr,precision_tbr,generalization_tbr,percentage
None,None,1.0,0.6687796902955148,0.5362076478993554,
IM_0.0,None,1.0,0.6516433477104342,0.9155611360907944,
IM_0.0,DeleteActivityPolluter,1.0,0.6516433477104342,0.9155611360907944,0.1
IM_0.0,DeleteActivityPolluter,1.0,0.6516433477104342,0.9155611360907944,0.2
IM_0.0,DeleteActivityPolluter,1.0,0.6516433477104342,0.9155611360907944,0.3
IM_0.0,DeleteActivityPolluter,1.0,0.6516433477104342,0.9155611360907944,0.4
IM_0.0,DeleteActivityPolluter,1.0,0.6516433477104342,0.9155611360907944,0.5
IM_0.0,DelayedEventLoggingPolluter,0.9931003415351186,0.8217427157778999,0.9154565765228377,0.1
IM_0.0,DelayedEventLoggingPolluter,0.9883146027870905,0.8206479735369586,0.915384900954949,0.2
IM_0.0,DelayedEventLoggingPolluter,0.983669529848851,0.8346688368598973,0.915275982937797,0.3
IM_0.0,DelayedEventLoggingPolluter,0.9820661344521544,0.8239812749379497,0.9152935234810217,0.4
IM_0.0,DelayedEventLoggingPolluter,0.9788691370329247,0.8862868830365778,0.915251362582715,0.5
IM_0.0,ImpreciseActivityPolluter,1.0,0.6516433477104342,0.9155611360907944,
IM_0.0,AggregatedEventLoggingPolluter,1.0,0.6516433477104342,0.9155611360907944,0.1
IM_0.0,AggregatedEventLoggingPolluter,1.0,0.6516433477104342,0.9155611360907944,0.2
IM_0.0,AggregatedEventLoggingPolluter,1.0,0.6516433477104342,0.9155611360907944,0.3
IM_0.0,AggregatedEventLoggingPolluter,1.0,0.6516433477104342,0.9155611360907944,0.4
IM_0.0,AggregatedEventLoggingPolluter,1.0,0.6516433477104342,0.9155611360907944,0.5
IM_0.0,InsertAlienActivityPolluter,0.9416065629218036,0.514951891537284,0.9071891303538547,0.1
IM_0.0,InsertAlienActivityPolluter,0.8946692763077755,0.3839023174682282,0.8959141756851448,0.2
IM_0.0,InsertAlienActivityPolluter,0.8570093217476882,0.32032527764116525,0.8711536343656319,0.3
IM_0.0,InsertAlienActivityPolluter,0.8218836320336511,0.2794477234401349,0.905408518794731,0.4
IM_0.0,InsertAlienActivityPolluter,0.7942283039956494,0.22470574479694438,0.8905796617804291,0.5
IM_0.2,None,0.9999831495205912,0.9776138828633406,0.9552056846054118,
IM_0.2,DeleteActivityPolluter,0.9999831495205912,0.9776138828633406,0.9552056846054118,0.1
IM_0.2,DeleteActivityPolluter,0.9999831495205912,0.9776138828633406,0.9552056846054118,0.2
IM_0.2,DeleteActivityPolluter,0.9999831495205912,0.9776138828633406,0.9552056846054118,0.3
IM_0.2,DeleteActivityPolluter,0.9999831495205912,0.9776138828633406,0.9552056846054118,0.4
IM_0.2,DeleteActivityPolluter,0.9999831495205912,0.9776138828633406,0.9552056846054118,0.5
IM_0.2,DelayedEventLoggingPolluter,0.9918508116445687,0.9811921493711765,0.9550355468617835,0.1
IM_0.2,DelayedEventLoggingPolluter,0.9854217025477452,0.9797734245928723,0.9548491634899676,0.2
IM_0.2,DelayedEventLoggingPolluter,0.9800477474348932,0.9809665029899363,0.9547196835631176,0.3
IM_0.2,DelayedEventLoggingPolluter,0.9777963529613871,0.9809622964229939,0.9547028210708146,0.4
IM_0.2,DelayedEventLoggingPolluter,0.973862350397037,0.9793672275988866,0.9545379284154194,0.5
IM_0.2,ImpreciseActivityPolluter,0.9999831495205912,0.9776138828633406,0.9552056846054118,
IM_0.2,AggregatedEventLoggingPolluter,0.9999831495205912,0.9776138828633406,0.9552056846054118,0.1
IM_0.2,AggregatedEventLoggingPolluter,0.9999831495205912,0.9776138828633406,0.9552056846054118,0.2
IM_0.2,AggregatedEventLoggingPolluter,0.9999831495205912,0.9776138828633406,0.9552056846054118,0.3
IM_0.2,AggregatedEventLoggingPolluter,0.9999831495205912,0.9776138828633406,0.9552056846054118,0.4
IM_0.2,AggregatedEventLoggingPolluter,0.9999831495205912,0.9776138828633406,0.9552056846054118,0.5
IM_0.2,InsertAlienActivityPolluter,0.9373246821622764,0.8097540554683411,0.9519352343006906,0.1
IM_0.2,InsertAlienActivityPolluter,0.8791003725382873,0.6824427788523533,0.949853846491885,0.2
IM_0.2,InsertAlienActivityPolluter,0.8300284201766303,0.5766749956418153,0.9474799121396077,0.3
IM_0.2,InsertAlienActivityPolluter,0.785350572242174,0.4972848322547051,0.9443596671824347,0.4
