algorithm,percentage,alien_activity_nr,pollution_pattern,fitness_tbr_cl-bm,precision_tbr_cl-bm,generalization_tbr_cl-bm,fitness_tbr_cl-cm,precision_tbr_cl-cm,generalization_tbr_cl-cm,fitness_tbr_pl-pm,precision_tbr_pl-pm,generalization_tbr_pl-pm,fitness_tbr_pl-cm,precision_tbr_pl-cm,generalization_tbr_pl-cm,fitness_tbr_cl-pm,precision_tbr_cl-pm,generalization_tbr_cl-pm,target_precision,distribution,parameters,mean_delay,precise_activity_labels,new_activity_label
IM_0.0,0.1,sqrt,InsertAlienActivityPolluter,1.0,0.5095860905551373,0.8796989934874723,1.0,0.51131871034292,0.9097037874179301,0.9898029635542016,0.505280071418307,0.9365323814027853,1.0,0.43996855734621054,0.9097037874179301,0.9912295795023616,0.31768394409147704,0.829780667821514,,,,,,
IM_0.0,0.2,sqrt,InsertAlienActivityPolluter,1.0,0.5095860905551373,0.8796989934874723,1.0,0.51131871034292,0.9097037874179301,1.0,0.43554888736503905,0.9245252252708641,1.0,0.36457390594194994,0.9097037874179301,1.0,0.3122504280578352,0.7906289292030233,,,,,,
IM_0.0,0.3,sqrt,InsertAlienActivityPolluter,1.0,0.5095860905551373,0.8796989934874723,1.0,0.51131871034292,0.9097037874179301,1.0,0.4707494337121192,0.9367306555116012,1.0,0.3381094271752726,0.9097037874179301,1.0,0.3536071449399837,0.7248006019145883,,,,,,
IM_0.0,0.4,sqrt,InsertAlienActivityPolluter,1.0,0.5095860905551373,0.8796989934874723,1.0,0.51131871034292,0.9097037874179301,1.0,0.3679873090375336,0.9370722445937998,1.0,0.31728495906562537,0.9097037874179301,0.9999998134897632,0.29491806030071466,0.7919202002992521,,,,,,
IM_0.0,0.5,sqrt,InsertAlienActivityPolluter,1.0,0.5095860905551373,0.8796989934874723,1.0,0.51131871034292,0.9097037874179301,1.0,0.4146608618558322,0.9381726127184181,1.0,0.2924945883789468,0.9097037874179301,1.0,0.33858688237871704,0.7380652185822777,,,,,,
IM_0.0,0.6,sqrt,InsertAlienActivityPolluter,1.0,0.5095860905551373,0.8796989934874723,1.0,0.51131871034292,0.9097037874179301,1.0,0.35005213306224847,0.9427623568965642,1.0,0.26856741845285803,0.9097037874179301,1.0,0.2780047205516466,0.7327431020321017,,,,,,
IM_0.0,0.7,sqrt,InsertAlienActivityPolluter,1.0,0.5095860905551373,0.8796989934874723,1.0,0.51131871034292,0.9097037874179301,1.0,0.3664921378410978,0.9310330311825177,1.0,0.22486121795475067,0.9097037874179301,1.0,0.3588811323375154,0.7214388512812839,,,,,,
IM_0.0,0.8,sqrt,InsertAlienActivityPolluter,1.0,0.5095860905551373,0.8796989934874723,1.0,0.51131871034292,0.9097037874179301,1.0,0.34102144215182784,0.9437120805744668,1.0,0.22100953629408837,0.9097037874179301,1.0,0.3400133901124097,0.7282997290296661,,,,,,
IM_0.0,0.9,sqrt,InsertAlienActivityPolluter,1.0,0.5095860905551373,0.8796989934874723,1.0,0.51131871034292,0.9097037874179301,1.0,0.30121720830100485,0.9428287608227119,1.0,0.20803098225678152,0.9097037874179301,1.0,0.2780047205516466,0.7327431020321017,,,,,,
IM_0.0,0.1,,AggregatedEventLoggingPolluter,1.0,0.5095860905551373,0.8796989934874723,1.0,0.51131871034292,0.9097037874179301,1.0,0.5204208182469188,0.9097059674758856,1.0,0.5204208182469188,0.9097059674758856,1.0,0.51131871034292,0.9097037874179301,hour,,,,,
