algorithm,pollution_type,fitness_tbr,precision_tbr,generalization_tbr,percentage
None,None,1.0,0.1072782825123586,0.9640543609944128,
IM_0.0,None,0.9889972698354549,0.1291940396849306,0.9463089548112427,
IM_0.0,DeleteActivityPolluter,0.9889972698354549,0.1291940396849306,0.9463089548112427,0.1
IM_0.0,DeleteActivityPolluter,0.9889972698354549,0.1291940396849306,0.9463089548112427,0.2
IM_0.0,DeleteActivityPolluter,0.9889972698354549,0.1291940396849306,0.9463089548112427,0.3
IM_0.0,DeleteActivityPolluter,0.9889972698354549,0.1291940396849306,0.9463089548112427,0.4
IM_0.0,DeleteActivityPolluter,0.9889972698354549,0.1291940396849306,0.9463089548112427,0.5
IM_0.0,DelayedEventLoggingPolluter,0.9605278633372583,0.2085696950322452,0.9629031101774796,0.1
IM_0.0,DelayedEventLoggingPolluter,0.9479757737559369,0.21756798461514915,0.9644265443960549,0.2
IM_0.0,DelayedEventLoggingPolluter,0.9404219257205246,0.2324931310119973,0.9653223669433839,0.3
IM_0.0,DelayedEventLoggingPolluter,0.9375173464467026,0.21743644560828346,0.9658203987590561,0.4
IM_0.0,DelayedEventLoggingPolluter,0.9352548688944041,0.23711617019993247,0.966161840683844,0.5
IM_0.0,ImpreciseActivityPolluter,0.9889972698354549,0.1291940396849306,0.9463089548112427,
IM_0.0,AggregatedEventLoggingPolluter,0.9890251919258091,0.129534988601971,0.9516342652541964,0.1
IM_0.0,AggregatedEventLoggingPolluter,0.9889702217824009,0.12945766751845167,0.946125395271054,0.2
IM_0.0,AggregatedEventLoggingPolluter,0.9889959755015141,0.12917447322778952,0.9499943556797,0.3
IM_0.0,AggregatedEventLoggingPolluter,0.9889868368124108,0.1280322993085704,0.9526138272555057,0.4
IM_0.0,AggregatedEventLoggingPolluter,0.9889956293392234,0.1292355665369599,0.9499937815893693,0.5
IM_0.0,InsertAlienActivityPolluter,0.8843764723707422,0.09307891006684366,0.9614714342856612,0.1
IM_0.0,InsertAlienActivityPolluter,0.8234217850835129,0.07345645240508059,0.9610163850211897,0.2
IM_0.0,InsertAlienActivityPolluter,0.7809123372292918,0.061797977981599694,0.9558971680341436,0.3
IM_0.0,InsertAlienActivityPolluter,0.7485760795752165,0.05482654548217114,0.9594357156021002,0.4
IM_0.0,InsertAlienActivityPolluter,0.7173504856973317,0.048991529734391914,0.9591514602141864,0.5
IM_0.2,None,0.9944922927079306,0.12019070573496582,0.9484413822942437,
IM_0.2,DeleteActivityPolluter,0.9944922927079306,0.12019070573496582,0.9484413822942437,0.1
IM_0.2,DeleteActivityPolluter,0.9944922927079306,0.12019070573496582,0.9484413822942437,0.2
IM_0.2,DeleteActivityPolluter,0.9944922927079306,0.12019070573496582,0.9484413822942437,0.3
IM_0.2,DeleteActivityPolluter,0.9944922927079306,0.12019070573496582,0.9484413822942437,0.4
IM_0.2,DeleteActivityPolluter,0.9944922927079306,0.12019070573496582,0.9484413822942437,0.5
IM_0.2,DelayedEventLoggingPolluter,0.9660961470896403,0.16674702956112808,0.9616027825269734,0.1
IM_0.2,DelayedEventLoggingPolluter,0.9530253152911693,0.16422952225377763,0.9625616446206435,0.2
IM_0.2,DelayedEventLoggingPolluter,0.9463755748550282,0.17159467074264068,0.9626202355833219,0.3
IM_0.2,DelayedEventLoggingPolluter,0.9426544322918777,0.16656128485161137,0.96276922612727,0.4
IM_0.2,DelayedEventLoggingPolluter,0.9396564503781825,0.17589320460345803,0.9627710218313854,0.5
IM_0.2,ImpreciseActivityPolluter,0.9944922927079306,0.12019070573496582,0.9484413822942437,
IM_0.2,AggregatedEventLoggingPolluter,0.9944913182632635,0.12037994913463312,0.9484402571958545,0.1
IM_0.2,AggregatedEventLoggingPolluter,0.9944934670633115,0.11969289166998032,0.9484417922194568,0.2
IM_0.2,AggregatedEventLoggingPolluter,0.9944914149989755,0.11961397925941741,0.9484414053796325,0.3
IM_0.2,AggregatedEventLoggingPolluter,0.9944939333669646,0.12050658591778107,0.9484415371427434,0.4
IM_0.2,AggregatedEventLoggingPolluter,0.9944923762658824,0.12059518065450003,0.9484414061899622,0.5
IM_0.2,InsertAlienActivityPolluter,0.8944890003068684,0.08258448283734487,0.9619555783545815,0.1
IM_0.2,InsertAlienActivityPolluter,0.8363464804763814,0.06551360006625762,0.9613077388165814,0.2
IM_0.2,InsertAlienActivityPolluter,0.7966878002153931,0.05571695456362735,0.9610026637213955,0.3
IM_0.2,InsertAlienActivityPolluter,0.7614273193123331,0.04696372972998741,0.957104588079332,0.4
IM_0.2,InsertAlienActivityPolluter,0.7392865435260072,0.04374864424532088,0.9575935190967936,0.5
ALPHA,None,0.6556736757103228,0.1049897775865759,0.9726998053247835,
ALPHA,DeleteActivityPolluter,0.6556736757103228,0.1049897775865759,0.9726998053247835,0.1
ALPHA,DeleteActivityPolluter,0.6556736757103228,0.1049897775865759,0.9726998053247835,0.2
ALPHA,DeleteActivityPolluter,0.6556736757103228,0.1049897775865759,0.9726998053247835,0.3
ALPHA,DeleteActivityPolluter,0.6556736757103228,0.1049897775865759,0.9726998053247835,0.4
ALPHA,DeleteActivityPolluter,0.6556736757103228,0.1049897775865759,0.9726998053247835,0.5
ALPHA,DelayedEventLoggingPolluter,0.5834946901427548,0.14909993519208764,0.9726998053247835,0.1
ALPHA,DelayedEventLoggingPolluter,0.552427720970247,0.15495154658995958,0.9726998053247835,0.2
ALPHA,DelayedEventLoggingPolluter,0.5407479802769245,0.1627728987814826,0.9726998053247835,0.3
ALPHA,DelayedEventLoggingPolluter,0.5289785808073119,0.16910654672044878,0.9726998053247835,0.4
ALPHA,DelayedEventLoggingPolluter,0.5228522596122613,0.17587067664247324,0.9726998053247835,0.5
ALPHA,ImpreciseActivityPolluter,0.6556736757103228,0.1049897775865759,0.9726998053247835,
ALPHA,AggregatedEventLoggingPolluter,0.6556736757103228,0.10550641296758045,0.9726998053247835,0.1
ALPHA,AggregatedEventLoggingPolluter,0.6556736757103228,0.10584749176257136,0.9726998053247835,0.2
ALPHA,AggregatedEventLoggingPolluter,0.6556736757103228,0.10518460006952168,0.9726998053247835,0.3
ALPHA,AggregatedEventLoggingPolluter,0.6556736757103228,0.10482926294329198,0.9726998053247835,0.4
