algorithm,percentage,pollution_pattern,fitness_tbr_cl-bm,precision_tbr_cl-bm,generalization_tbr_cl-bm,fitness_tbr_cl-cm,precision_tbr_cl-cm,generalization_tbr_cl-cm,fitness_tbr_pl-pm,precision_tbr_pl-pm,generalization_tbr_pl-pm,fitness_tbr_pl-cm,precision_tbr_pl-cm,generalization_tbr_pl-cm,fitness_tbr_cl-pm,precision_tbr_cl-pm,generalization_tbr_cl-pm,precise_activity_labels,new_activity_label
IM_0.0,0.1,InsertAlienActivityPolluter,1.0,0.5610530725384172,0.7968022568517868,1.0,0.5121873114361892,0.9153986399295818,0.9974507408885503,0.506550817026757,0.9327649177932026,1.0,0.4553838786566244,0.9153986399295818,0.9978073948755904,0.303968719734518,0.6880518745307311,,
IM_0.0,0.2,InsertAlienActivityPolluter,1.0,0.5610530725384172,0.7968022568517868,1.0,0.5121873114361892,0.9153986399295818,1.0,0.4642454931907368,0.9364858557636376,1.0,0.4138073202045639,0.9153986399295818,1.0,0.3008790053296523,0.676851379401848,,
IM_0.0,0.3,InsertAlienActivityPolluter,1.0,0.5610530725384172,0.7968022568517868,1.0,0.5121873114361892,0.9153986399295818,1.0,0.4631419433589754,0.9423228450587924,1.0,0.3883457924614546,0.9153986399295818,1.0,0.3155378371189135,0.6627706164104668,,
IM_0.0,0.4,InsertAlienActivityPolluter,1.0,0.5610530725384172,0.7968022568517868,1.0,0.5121873114361892,0.9153986399295818,1.0,0.4080784630191881,0.9397077748985776,1.0,0.3661435872651391,0.9153986399295818,0.999993830723538,0.2817803077958138,0.7102806559047862,,
IM_0.0,0.5,InsertAlienActivityPolluter,1.0,0.5610530725384172,0.7968022568517868,1.0,0.5121873114361892,0.9153986399295818,1.0,0.424283846570996,0.9420510685405992,1.0,0.3449068599517862,0.9153986399295818,1.0,0.3076085805100631,0.6635073045848647,,
IM_0.0,0.6,InsertAlienActivityPolluter,1.0,0.5610530725384172,0.7968022568517868,1.0,0.5121873114361892,0.9153986399295818,1.0,0.3763792387510797,0.943156869192563,1.0,0.3223616212676701,0.9153986399295818,1.0,0.2813885022538596,0.6586543800923845,,
IM_0.0,0.7,InsertAlienActivityPolluter,1.0,0.5610530725384172,0.7968022568517868,1.0,0.5121873114361892,0.9153986399295818,1.0,0.4010770681880171,0.9366785027285351,1.0,0.3010055639244104,0.9153986399295818,1.0,0.314087429941455,0.6572438556523716,,
IM_0.0,0.8,InsertAlienActivityPolluter,1.0,0.5610530725384172,0.7968022568517868,1.0,0.5121873114361892,0.9153986399295818,1.0,0.3790819027793922,0.9382284179877308,1.0,0.2901485487438165,0.9153986399295818,1.0,0.3124046169759314,0.6529657510258222,,
IM_0.0,0.9,InsertAlienActivityPolluter,1.0,0.5610530725384172,0.7968022568517868,1.0,0.5121873114361892,0.9153986399295818,1.0,0.3701604237798944,0.9383912413331884,1.0,0.2791430441803434,0.9153986399295818,1.0,0.293846468569703,0.6602335939388491,,
IM_0.0,0.1,AggregatedEventLoggingPolluterhour,1.0,0.5610530725384172,0.7968022568517868,1.0,0.5121873114361892,0.9153986399295818,1.0,0.5089121012098969,0.915763433588141,0.9985798312068046,0.5277561507950277,0.9153991719630582,1.0,0.471596563431831,0.9157628885736522,,
IM_0.0,0.2,AggregatedEventLoggingPolluterhour,1.0,0.5610530725384172,0.7968022568517868,1.0,0.5121873114361892,0.9153986399295818,1.0,0.512627469447753,0.9157633081860423,0.9985322648144676,0.5323374118772083,0.9153990465609596,1.0,0.471596563431831,0.9157628885736522,,
IM_0.0,0.3,AggregatedEventLoggingPolluterhour,1.0,0.5610530725384172,0.7968022568517868,1.0,0.5121873114361892,0.9153986399295818,1.0,0.5124735045073748,0.9160969874869012,0.9985590623739652,0.5321472553168161,0.9153990400685788,1.0,0.471596563431831,0.9160965678745112,,
IM_0.0,0.4,AggregatedEventLoggingPolluterhour,1.0,0.5610530725384172,0.7968022568517868,1.0,0.5121873114361892,0.9153986399295818,1.0,0.5148307703947804,0.9157632244614844,0.9985199814561748,0.535355835648258,0.9153989693275324,1.0,0.471596563431831,0.9157628885736522,,
IM_0.0,0.5,AggregatedEventLoggingPolluterhour,1.0,0.5610530725384172,0.7968022568517868,1.0,0.5121873114361892,0.9153986399295818,1.0,0.5084772668250096,0.915291115093747,0.998524917254603,0.5340940533497904,0.9153988790130836,1.0,0.4660574243841284,0.9152908630292328,,
IM_0.0,0.6,AggregatedEventLoggingPolluterhour,1.0,0.5610530725384172,0.7968022568517868,1.0,0.5121873114361892,0.9153986399295818,1.0,0.5051086563828091,0.915291115093747,0.9985355255570112,0.5304458762394841,0.9153988790130836,1.0,0.4660574243841284,0.9152908630292328,,
IM_0.0,0.7,AggregatedEventLoggingPolluterhour,1.0,0.5610530725384172,0.7968022568517868,1.0,0.5121873114361892,0.9153986399295818,1.0,0.5135960636951431,0.9160968618630416,0.998511021769571,0.533359676255816,0.9153989209371,1.0,0.471596563431831,0.9160965678745112,,
IM_0.0,0.8,AggregatedEventLoggingPolluterhour,1.0,0.5610530725384172,0.7968022568517868,1.0,0.5121873114361892,0.9153986399295818,1.0,0.5034819216806089,0.915624961942482,0.9985406342264842,0.5275122877524856,0.9153990465609596,1.0,0.4660574243841284,0.9156245423300916,,
