algorithm,percentage,alien_activity_nr,pollution_pattern,fitness_tbr_cl-bm,precision_tbr_cl-bm,generalization_tbr_cl-bm,fitness_tbr_cl-cm,precision_tbr_cl-cm,generalization_tbr_cl-cm,fitness_tbr_pl-pm,precision_tbr_pl-pm,generalization_tbr_pl-pm,fitness_tbr_pl-cm,precision_tbr_pl-cm,generalization_tbr_pl-cm,fitness_tbr_cl-pm,precision_tbr_cl-pm,generalization_tbr_cl-pm,target_precision,distribution,parameters,mean_delay,precise_activity_labels,new_activity_label
IM_0.0,0.1,sqrt,InsertAlienActivityPolluter,1.0,0.679254229525661,0.9423935156161204,1.0,0.4755180843815833,0.9538582551958511,1.0,0.607428793282802,0.9638122760489082,1.0,0.4325897782985064,0.9538582551958511,1.0,0.3252740752887161,0.6467058496943665,,,,,,
IM_0.0,0.2,sqrt,InsertAlienActivityPolluter,1.0,0.679254229525661,0.9423935156161204,1.0,0.4755180843815833,0.9538582551958511,1.0,0.5828636014155653,0.9677300662574068,1.0,0.4003408675946213,0.9538582551958511,1.0,0.3252740752887161,0.6467058496943665,,,,,,
IM_0.0,0.3,sqrt,InsertAlienActivityPolluter,1.0,0.679254229525661,0.9423935156161204,1.0,0.4755180843815833,0.9538582551958511,1.0,0.5571365631445812,0.9691363699322283,1.0,0.3692548738131597,0.9538582551958511,1.0,0.3252740752887161,0.6467058496943665,,,,,,
IM_0.0,0.4,sqrt,InsertAlienActivityPolluter,1.0,0.679254229525661,0.9423935156161204,1.0,0.4755180843815833,0.9538582551958511,1.0,0.541426139646056,0.9698417828397137,1.0,0.350448371479402,0.9538582551958511,1.0,0.3252740752887161,0.6467058496943665,,,,,,
IM_0.0,0.5,sqrt,InsertAlienActivityPolluter,1.0,0.679254229525661,0.9423935156161204,1.0,0.4755180843815833,0.9538582551958511,1.0,0.5232397586891822,0.9702988811495789,1.0,0.32751607492311996,0.9538582551958511,1.0,0.3252740752887161,0.6467058496943665,,,,,,
IM_0.0,0.6,sqrt,InsertAlienActivityPolluter,1.0,0.679254229525661,0.9423935156161204,1.0,0.4755180843815833,0.9538582551958511,1.0,0.5048690532437753,0.9705964588172695,1.0,0.3057744526779713,0.9538582551958511,1.0,0.3252740752887161,0.6467058496943665,,,,,,
IM_0.0,0.7,sqrt,InsertAlienActivityPolluter,1.0,0.679254229525661,0.9423935156161204,1.0,0.4755180843815833,0.9538582551958511,1.0,0.49492439479525496,0.9708137048467814,1.0,0.2958344973481787,0.9538582551958511,1.0,0.3252740752887161,0.6467058496943665,,,,,,
IM_0.0,0.8,sqrt,InsertAlienActivityPolluter,1.0,0.679254229525661,0.9423935156161204,1.0,0.4755180843815833,0.9538582551958511,1.0,0.4807725185701065,0.9709781116359664,1.0,0.2812807862189056,0.9538582551958511,1.0,0.3252740752887161,0.6467058496943665,,,,,,
IM_0.0,0.9,sqrt,InsertAlienActivityPolluter,1.0,0.679254229525661,0.9423935156161204,1.0,0.4755180843815833,0.9538582551958511,1.0,0.47080813790905296,0.9711040169103683,1.0,0.27239247675190625,0.9538582551958511,1.0,0.3252740752887161,0.6467058496943665,,,,,,
IM_0.0,0.1,,AggregatedEventLoggingPolluter,1.0,0.679254229525661,0.9423935156161204,1.0,0.4755180843815833,0.9538582551958511,1.0,0.4561610424246868,0.955315249772133,0.9943193248272182,0.5315372407652095,0.9538582032718014,1.0,0.3131550923641504,0.955315249772133,hour,,,,,
IM_0.0,0.2,,AggregatedEventLoggingPolluter,1.0,0.679254229525661,0.9423935156161204,1.0,0.4755180843815833,0.9538582551958511,1.0,0.46174100617230207,0.955315249772133,0.9941290592578702,0.5405807758901233,0.9538582032718014,1.0,0.3131550923641504,0.955315249772133,hour,,,,,
IM_0.0,0.3,,AggregatedEventLoggingPolluter,1.0,0.679254229525661,0.9423935156161204,1.0,0.4755180843815833,0.9538582551958511,1.0,0.4616705998258718,0.9566499669755683,0.9942362494958602,0.5403656030636366,0.9538581773022782,1.0,0.3131550923641504,0.9566499669755683,hour,,,,,
IM_0.0,0.4,,AggregatedEventLoggingPolluter,1.0,0.679254229525661,0.9423935156161204,1.0,0.4755180843815833,0.9538582551958511,1.0,0.46671203123281646,0.955315249772133,0.9940799258246986,0.5488122922467266,0.9538582292363251,1.0,0.3131550923641504,0.955315249772133,hour,,,,,
IM_0.0,0.5,,AggregatedEventLoggingPolluter,1.0,0.679254229525661,0.9423935156161204,1.0,0.4755180843815833,0.9538582551958511,1.0,0.464495262140193,0.955315249772133,0.9940996690184122,0.5451856856146429,0.9538582032718014,1.0,0.3131550923641504,0.955315249772133,hour,,,,,
IM_0.0,0.6,,AggregatedEventLoggingPolluter,1.0,0.679254229525661,0.9423935156161204,1.0,0.4755180843815833,0.9538582551958511,1.0,0.46120280803368907,0.955315249772133,0.9941421022280448,0.5398806586692336,0.9538582032718014,1.0,0.3131550923641504,0.955315249772133,hour,,,,,
IM_0.0,0.7,,AggregatedEventLoggingPolluter,1.0,0.679254229525661,0.9423935156161204,1.0,0.4755180843815833,0.9538582551958511,1.0,0.46151436144986835,0.9566499669755683,0.9940440870782838,0.5405688116925599,0.9538582032718014,1.0,0.3131550923641504,0.9566499669755683,hour,,,,,
IM_0.0,0.8,,AggregatedEventLoggingPolluter,1.0,0.679254229525661,0.9423935156161204,1.0,0.4755180843815833,0.9538582551958511,1.0,0.4534078776742716,0.9566499669755683,0.9941625369059368,0.5277104579515424,0.9538582032718014,1.0,0.3131550923641504,0.9566499669755683,hour,,,,,
