,Unnamed: 0,algorithm,percentage,pollution_pattern,fitness_tbr_cl-bm,precision_tbr_cl-bm,generalization_tbr_cl-bm,fitness_tbr_cl-cm,precision_tbr_cl-cm,generalization_tbr_cl-cm,fitness_tbr_pl-pm,precision_tbr_pl-pm,generalization_tbr_pl-pm,fitness_tbr_pl-cm,precision_tbr_pl-cm,generalization_tbr_pl-cm,fitness_tbr_cl-pm,precision_tbr_cl-pm,generalization_tbr_cl-pm
0,0.0,IM_0.0,0.1,InsertAlienActivityPolluter,1.0,0.5610530725384172,0.7968022568517868,1.0,0.5121873114361892,0.9153986399295818,0.9974507408885505,0.506550817026757,0.9327649177932026,1.0,0.45538387865662444,0.9153986399295818,0.9978073948755903,0.303968719734518,0.6880518745307311
1,1.0,IM_0.0,0.2,InsertAlienActivityPolluter,1.0,0.5610530725384172,0.7968022568517868,1.0,0.5121873114361892,0.9153986399295818,1.0,0.4642454931907368,0.9364858557636377,1.0,0.41380732020456396,0.9153986399295818,1.0,0.3008790053296523,0.676851379401848
2,2.0,IM_0.0,0.3,InsertAlienActivityPolluter,1.0,0.5610530725384172,0.7968022568517868,1.0,0.5121873114361892,0.9153986399295818,1.0,0.4631419433589754,0.9423228450587924,1.0,0.3883457924614546,0.9153986399295818,1.0,0.3155378371189135,0.6627706164104668
3,3.0,IM_0.0,0.4,InsertAlienActivityPolluter,1.0,0.5610530725384172,0.7968022568517868,1.0,0.5121873114361892,0.9153986399295818,1.0,0.40807846301918815,0.9397077748985777,1.0,0.3661435872651391,0.9153986399295818,0.9999938307235381,0.28178030779581387,0.7102806559047862
4,4.0,IM_0.0,0.5,InsertAlienActivityPolluter,1.0,0.5610530725384172,0.7968022568517868,1.0,0.5121873114361892,0.9153986399295818,1.0,0.424283846570996,0.9420510685405993,1.0,0.34490685995178627,0.9153986399295818,1.0,0.3076085805100631,0.6635073045848647
5,5.0,IM_0.0,0.6,InsertAlienActivityPolluter,1.0,0.5610530725384172,0.7968022568517868,1.0,0.5121873114361892,0.9153986399295818,1.0,0.3763792387510797,0.943156869192563,1.0,0.3223616212676701,0.9153986399295818,1.0,0.2813885022538596,0.6586543800923845
6,6.0,IM_0.0,0.7,InsertAlienActivityPolluter,1.0,0.5610530725384172,0.7968022568517868,1.0,0.5121873114361892,0.9153986399295818,1.0,0.4010770681880171,0.9366785027285353,1.0,0.30100556392441047,0.9153986399295818,1.0,0.314087429941455,0.6572438556523716
7,7.0,IM_0.0,0.8,InsertAlienActivityPolluter,1.0,0.5610530725384172,0.7968022568517868,1.0,0.5121873114361892,0.9153986399295818,1.0,0.37908190277939224,0.9382284179877308,1.0,0.2901485487438165,0.9153986399295818,1.0,0.31240461697593147,0.6529657510258222
8,8.0,IM_0.0,0.9,InsertAlienActivityPolluter,1.0,0.5610530725384172,0.7968022568517868,1.0,0.5121873114361892,0.9153986399295818,1.0,0.37016042377989444,0.9383912413331885,1.0,0.2791430441803434,0.9153986399295818,1.0,0.29384646856970303,0.6602335939388491
9,9.0,IM_0.0,0.1,AggregatedEventLoggingPolluterhour,1.0,0.5610530725384172,0.7968022568517868,1.0,0.5121873114361892,0.9153986399295818,1.0,0.5089121012098969,0.915763433588141,0.9985798312068046,0.5277561507950277,0.9153991719630582,1.0,0.471596563431831,0.9157628885736522
